"date","id","totalCalls","answeredCalls","sales"
2017-04-27,118,NA,NA,NA
2017-04-28,118,NA,NA,NA
2017-04-29,118,55,23,8
2017-04-30,118,NA,NA,NA
2017-05-01,118,NA,NA,NA
2017-05-02,118,72,16,3
2017-05-03,118,44,8,2
2017-05-04,118,61,34,9
2017-05-05,118,NA,NA,NA
2017-05-06,118,77,45,16
2017-05-07,118,NA,NA,NA
2017-05-08,118,NA,NA,NA
2017-05-09,118,67,9,1
2017-05-10,118,NA,NA,NA
2017-05-11,118,43,22,3
2017-05-12,118,53,28,11
2017-05-13,118,40,16,2
2017-05-14,118,72,44,10
2017-05-15,118,77,23,9
2017-05-16,118,NA,NA,NA
2017-05-17,118,NA,NA,NA
2017-05-18,118,NA,NA,NA
2017-05-19,118,37,16,2
2017-05-20,118,NA,NA,NA
2017-05-21,118,NA,NA,NA
2017-05-22,118,66,18,2
2017-05-23,118,25,4,1
2017-05-24,118,NA,NA,NA
2017-05-25,118,43,7,2
2017-05-26,118,52,28,4
2017-05-27,118,NA,NA,NA
2017-05-28,118,57,8,1
2017-05-29,118,NA,NA,NA
2017-05-30,118,NA,NA,NA
2017-05-31,118,73,39,11
2017-06-01,118,60,18,6
2017-06-02,118,NA,NA,NA
2017-06-03,118,69,40,13
2017-06-04,118,NA,NA,NA
2017-06-05,118,65,14,5
2017-06-06,118,NA,NA,NA
2017-06-07,118,NA,NA,NA
2017-06-08,118,31,17,6
2017-06-09,118,74,17,4
2017-06-10,118,NA,NA,NA
2017-06-11,118,NA,NA,NA
2017-06-12,118,64,26,8
2017-06-13,118,65,27,8
2017-06-14,118,NA,NA,NA
2017-06-15,118,NA,NA,NA
2017-06-16,118,NA,NA,NA
2017-06-17,118,67,18,7
2017-06-18,118,65,39,8
2017-06-19,118,NA,NA,NA
2017-06-20,118,NA,NA,NA
2017-06-21,118,56,14,4
2017-06-22,118,NA,NA,NA
2017-06-23,118,NA,NA,NA
2017-06-24,118,NA,NA,NA
2017-06-25,118,58,21,6
2017-06-26,118,31,11,3
2017-06-27,118,36,21,4
2017-06-28,118,28,16,6
2017-06-29,118,NA,NA,NA
2017-06-30,118,NA,NA,NA
2017-07-01,118,NA,NA,NA
2017-07-02,118,NA,NA,NA
2017-07-03,118,46,8,3
2017-07-04,118,72,11,4
2017-07-05,118,69,40,6
2017-07-06,118,74,33,11
2017-07-07,118,NA,NA,NA
2017-07-08,118,43,19,2
2017-07-09,118,71,35,6
2017-07-10,118,60,36,7
2017-07-11,118,60,33,12
2017-07-12,118,70,26,7
2017-07-13,118,66,16,4
2017-07-14,118,40,18,2
2017-07-15,118,48,29,8
2017-07-16,118,63,21,5
2017-07-17,118,76,23,6
2017-07-18,118,NA,NA,NA
2017-07-19,118,NA,NA,NA
2017-07-20,118,28,15,5
2017-07-21,118,51,31,6
2017-07-22,118,27,15,4
2017-07-23,118,71,45,12
2017-07-24,118,38,14,4
2017-07-25,118,NA,NA,NA
2017-07-26,118,30,14,1
2017-07-27,118,NA,NA,NA
2017-07-28,118,NA,NA,NA
2017-07-29,118,37,8,2
2017-07-30,118,NA,NA,NA
2017-07-31,118,NA,NA,NA
2017-08-01,118,31,13,4
2017-08-02,118,77,34,12
2017-08-03,118,74,40,6
2017-08-04,118,73,42,15
2017-08-05,118,60,30,11
2017-08-06,118,NA,NA,NA
2017-08-07,118,NA,NA,NA
2017-08-08,118,25,6,1
2017-08-09,118,NA,NA,NA
2017-08-10,118,NA,NA,NA
2017-08-11,118,53,22,7
2017-08-12,118,NA,NA,NA
2017-08-13,118,59,20,5
2017-08-14,118,76,34,9
2017-08-15,118,NA,NA,NA
2017-08-16,118,24,8,2
2017-08-17,118,75,45,14
2017-08-18,118,NA,NA,NA
2017-08-19,118,54,15,5
2017-08-20,118,NA,NA,NA
2017-08-21,118,78,21,4
2017-08-22,118,30,12,3
2017-08-23,118,NA,NA,NA
2017-08-24,118,27,15,4
2017-08-25,118,49,22,6
2017-08-26,118,NA,NA,NA
2017-08-27,118,76,10,1
2017-08-28,118,NA,NA,NA
2017-08-29,118,26,15,4
2017-08-30,118,76,39,6
2017-08-31,118,NA,NA,NA
2017-09-01,118,63,29,11
2017-09-02,118,42,21,6
2017-09-03,118,41,24,9
2017-09-04,118,68,40,7
2017-09-05,118,NA,NA,NA
2017-09-06,118,74,21,3
2017-09-07,118,NA,NA,NA
2017-09-08,118,25,14,3
2017-09-09,118,NA,NA,NA
2017-09-10,118,NA,NA,NA
2017-09-11,118,60,10,1
2017-09-12,118,50,10,4
2017-09-13,118,60,37,7
2017-09-14,118,70,22,8
2017-09-15,118,NA,NA,NA
2017-09-16,118,NA,NA,NA
2017-09-17,118,NA,NA,NA
2017-09-18,118,NA,NA,NA
2017-09-19,118,NA,NA,NA
2017-09-20,118,NA,NA,NA
2017-09-21,118,NA,NA,NA
2017-09-22,118,NA,NA,NA
2017-09-23,118,50,31,10
2017-09-24,118,28,7,2
2017-09-25,118,31,16,6
2017-09-26,118,44,14,2
2017-09-27,118,47,26,4
2017-09-28,118,NA,NA,NA
2017-09-29,118,71,26,5
2017-09-30,118,72,22,3
2017-10-01,118,NA,NA,NA
2017-10-02,118,74,30,6
2017-10-03,118,40,17,6
2017-10-04,118,64,24,10
2017-10-05,118,NA,NA,NA
2017-10-06,118,NA,NA,NA
2017-10-07,118,61,20,4
2017-10-08,118,NA,NA,NA
2017-10-09,118,NA,NA,NA
2017-10-10,118,NA,NA,NA
2017-10-11,118,65,9,1
2017-10-12,118,NA,NA,NA
2017-10-13,118,74,13,2
2017-10-14,118,NA,NA,NA
2017-10-15,118,NA,NA,NA
2017-10-16,118,29,6,0
2017-10-17,118,38,21,5
2017-10-18,118,33,13,4
2017-10-19,118,70,26,4
2017-10-20,118,32,9,3
2017-10-21,118,76,39,5
2017-10-22,118,NA,NA,NA
2017-10-23,118,65,24,4
2017-10-24,118,54,8,1
2017-10-25,118,NA,NA,NA
2017-10-26,118,NA,NA,NA
2017-10-27,118,66,13,5
2017-10-28,118,31,8,2
2017-10-29,118,NA,NA,NA
2017-10-30,118,NA,NA,NA
2017-10-31,118,42,25,9
2017-11-01,118,NA,NA,NA
2017-11-02,118,40,8,3
2017-11-03,118,NA,NA,NA
2017-11-04,118,33,17,2
2017-11-05,118,59,9,3
2017-11-06,118,NA,NA,NA
2017-11-07,118,NA,NA,NA
2017-11-08,118,41,22,6
2017-11-09,118,26,5,1
2017-11-10,118,NA,NA,NA
2017-11-11,118,38,11,2
2017-11-12,118,NA,NA,NA
2017-11-13,118,58,12,4
2017-11-14,118,NA,NA,NA
2017-11-15,118,NA,NA,NA
2017-11-16,118,NA,NA,NA
2017-11-17,118,NA,NA,NA
2017-11-18,118,NA,NA,NA
2017-11-19,118,NA,NA,NA
2017-11-20,118,66,21,8
2017-11-21,118,42,20,7
2017-11-22,118,44,10,2
2017-11-23,118,37,20,3
2017-11-24,118,70,29,7
2017-11-25,118,43,27,8
2017-11-26,118,55,23,3
2017-11-27,118,43,18,4
2017-11-28,118,NA,NA,NA
2017-11-29,118,46,22,6
2017-11-30,118,NA,NA,NA
2017-12-01,118,37,16,3
2017-12-02,118,NA,NA,NA
2017-12-03,118,40,16,6
2017-12-04,118,66,24,4
2017-12-05,118,66,9,1
2017-12-06,118,47,11,3
2017-12-07,118,30,10,3
2017-12-08,118,24,11,2
2017-12-09,118,NA,NA,NA
2017-12-10,118,41,7,2
2017-12-11,118,47,23,6
2017-12-12,118,NA,NA,NA
2017-12-13,118,NA,NA,NA
2017-12-14,118,75,39,8
2017-12-15,118,42,18,4
2017-12-16,118,47,7,1
2017-12-17,118,64,31,6
2017-12-18,118,63,10,3
2017-12-19,118,69,9,1
2017-12-20,118,NA,NA,NA
2017-12-21,118,42,16,2
2017-12-22,118,NA,NA,NA
2017-12-23,118,NA,NA,NA
2017-12-24,118,NA,NA,NA
2017-12-25,118,NA,NA,NA
2017-12-26,118,NA,NA,NA
2017-12-27,118,76,42,16
2017-12-28,118,NA,NA,NA
2017-12-29,118,50,26,10
2017-12-30,118,41,11,1
2017-12-31,118,NA,NA,NA
